INSEE_COM;NOM_COM;NB_IRIS
31056;Beauzelle;2
31069;Blagnac;11
31113;Castanet-Tolosan;5
31116;Castelginest;3
31149;Colomiers;12
31157;Cugnaux;5
31169;Escalquens;2
31187;Fonsorbes;3
31203;Frouzins;2
31232;Grenade;2
31282;Launaguet;2
31291;Léguevin;3
31395;Muret;10
31417;Pibrac;3
31424;Plaisance-du-Touch;5
31433;Portet-sur-Garonne;5
31446;Ramonville-Saint-Agne;6
31451;Revel;3
31467;Saint-Alban;2
31483;Saint-Gaudens;6
31488;Saint-Jean;4
31499;Saint-Lys;2
31506;Saint-Orens-de-Gameville;6
31526;La Salvetat-Saint-Gilles;2
31547;Seysses;3
31555;Toulouse;153
31557;Tournefeuille;9
31561;L'Union;7
31588;Villeneuve-Tolosane;3
32013;Auch;11
32107;Condom;3
32132;Fleurance;3
32160;L'Isle-Jourdain;2
33003;Ambarès-et-Lagrave;4
33005;Andernos-les-Bains;4
33009;Arcachon;5
33013;Artigues-près-Bordeaux;2
33032;Bassens;4
33039;Bègles;10
33051;Biganos;3
33056;Blanquefort;7
33063;Bordeaux;88
33069;Le Bouscat;9
33075;Bruges;5
33090;Canéjan;2
33096;Carbon-Blanc;3
33119;Cenon;9
33122;Cestas;7
33138;Coutras;3
33162;Eysines;7
33167;Floirac;7
33192;Gradignan;10
33199;Gujan-Mestras;5
33200;Le Haillan;4
33227;Langon;2
33236;Lège-Cap-Ferret;2
33238;Léognan;4
33243;Libourne;9
33249;Lormont;10
33273;Martignas-sur-Jalle;2
33281;Mérignac;27
33312;Parempuyre;3
33314;Pauillac;2
33318;Pessac;22
33322;Le Pian-Médoc;2
33366;Saint-André-de-Cubzac;3
33422;Saint-Jean-d'Illac;2
33433;Saint-Loubès;3
33449;Saint-Médard-en-Jalles;13
33519;Le Taillan-Médoc;3
33522;Talence;13
33529;La Teste-de-Buch;9
33550;Villenave-d'Ornon;10
34003;Agde;10
34022;Baillargues;3
34023;Balaruc-les-Bains;2
34028;Bédarieux;4
34031;Bessan;2
34032;Béziers;31
34057;Castelnau-le-Lez;7
34058;Castries;3
34077;Clapiers;2
34079;Clermont-l'Hérault;3
34088;Cournonterral;2
34090;Le Crès;4
34095;Fabrègues;3
34108;Frontignan;8
34116;Grabels;2
34120;Jacou;2
34123;Juvignac;2
34129;Lattes;8
34142;Lodève;3
34145;Lunel;8
34150;Marseillan;4
34151;Marsillargues;2
34154;Mauguio;7
34157;Mèze;3
34172;Montpellier;88
34192;Palavas-les-Flots;2
34198;Pérols;4
34199;Pézenas;3
34202;Pignan;3
34213;Poussan;2
34217;Prades-le-Lez;2
34247;Saint-Clément-de-Rivière;2
34255;Saint-Gély-du-Fesc;3
34259;Saint-Georges-d'Orques;2
34270;Saint-Jean-de-Védas;4
34299;Sérignan;4
34301;Sète;20
34309;Teyran;2
34327;Vendargues;4
34332;Vias;2
34337;Villeneuve-lès-Maguelone;3
34344;La Grande-Motte;3
35001;Acigné;2
35012;Bain-de-Bretagne;2
35024;Betton;4
35047;Bruz;6
35049;Cancale;2
35051;Cesson-Sévigné;9
35055;Chantepie;3
35066;Chartres-de-Bretagne;4
35069;Châteaugiron;2
35093;Dinard;5
35115;Fougères;10
35126;Guichen;3
35136;Janzé;2
35152;Liffré;3
35173;Melesse;2
35188;Montfort-sur-Meu;3
35196;Mordelles;3
35206;Noyal-Châtillon-sur-Seiche;2
35210;Pacé;4
35236;Redon;4
35238;Rennes;92
35240;Le Rheu;3
35278;Saint-Grégoire;3
35281;Saint-Jacques-de-la-Lande;3
35288;Saint-Malo;21
35334;Thorigné-Fouillard;3
35352;Vern-sur-Seiche;3
35360;Vitré;7
36044;Châteauroux;21
36063;Déols;4
36088;Issoudun;7
36159;Le Poinçonnet;2
37003;Amboise;5
37018;Ballan-Miré;3
37050;Chambray-lès-Tours;4
37109;Fondettes;3
37122;Joué-lès-Tours;16
37156;Montlouis-sur-Loire;5
37195;La Riche;4
37208;Saint-Avertin;7
37214;Saint-Cyr-sur-Loire;6
37233;Saint-Pierre-des-Corps;7
37261;Tours;57
37266;Veigné;2
38053;Bourgoin-Jallieu;9
38085;Charvieu-Chavagneux;3
38111;Claix;3
38140;Crolles;3
38150;Domène;2
38151;Échirolles;15
38158;Eybens;3
38169;Fontaine;12
38179;Gières;2
38185;Grenoble;70
38193;L'Isle-d'Abeau;6
38229;Meylan;11
38239;Moirans;3
38269;La Mure;2
38298;Le Péage-de-Roussillon;2
38314;Pontcharra;2
38317;Le Pont-de-Claix;7
38318;Pont-Évêque;2
38337;Rives;2
38344;Roussillon;3
38382;Saint-Égrève;8
38397;Saint-Ismier;2
38416;Saint-Marcellin;3
38421;Saint-Martin-d'Hères;14
38423;Saint-Martin-le-Vinoux;2
38425;Saint-Maurice-l'Exil;2
38449;Saint-Quentin-Fallavier;2
38474;Sassenage;4
38485;Seyssinet-Pariset;6
38486;Seyssins;3
38509;La Tour-du-Pin;3
38516;La Tronche;2
38517;Tullins;3
38524;Varces-Allières-et-Risset;2
38537;La Verpillière;2
38544;Vienne;12
38545;Vif;2
38547;Villard-Bonnot;2
38553;Villefontaine;7
38562;Vizille;3
38563;Voiron;8
38565;Voreppe;4
39097;Champagnole;4
39198;Dole;14
39300;Lons-le-Saunier;8
39368;Morez;3
39478;Saint-Claude;12
40001;Aire-sur-l'Adour;2
40046;Biscarrosse;4
40065;Capbreton;3
40088;Dax;8
40184;Mimizan;3
40192;Mont-de-Marsan;12
40279;Saint-Paul-lès-Dax;5
40281;Saint-Pierre-du-Mont;3
40284;Saint-Vincent-de-Tyrosse;2
40310;Soustons;2
40312;Tarnos;5
41018;Blois;20
41136;Mer;3
41194;Romorantin-Lanthenay;9
41269;Vendôme;8
41295;Vineuil;3
42005;Andrézieux-Bouthéon;4
42044;Le Chambon-Feugerolles;6
42071;Le Coteau;2
42094;Feurs;3
42095;Firminy;9
42127;Mably;3
42147;Montbrison;6
42183;La Ricamarie;4
42184;Riorges;6
42186;Rive-de-Gier;6
42187;Roanne;16
42189;Roche-la-Molière;4
42207;Saint-Chamond;16
42218;Saint-Étienne;78
42222;Saint-Galmier;2
42223;Saint-Genest-Lerpt;2
42237;Saint-Jean-Bonnefonds;3
42275;Saint-Priest-en-Jarez;2
42279;Saint-Just-Saint-Rambert;5
42302;Sorbiers;3
42305;La Talaudière;3
42316;Unieux;4
42323;Veauche;3
42330;Villars;4
43040;Brioude;2
43137;Monistrol-sur-Loire;2
43157;Le Puy-en-Velay;8
43224;Sainte-Sigolène;2
43268;Yssingeaux;2
44003;Ancenis;3
44009;Basse-Goulaine;3
44018;Bouaye;2
44020;Bouguenais;7
44026;Carquefou;7
44029;La Chapelle-Basse-Mer;2
44035;La Chapelle-sur-Erdre;10
44036;Châteaubriant;5
44041;La Chevrolière;2
44043;Clisson;2
44047;Couëron;8
44052;Donges;3
44055;La Baule-Escoublac;6
44067;Guémené-Penfao;2
44069;Guérande;7
44087;Machecoul;2
44101;La Montagne;2
44103;Montoir-de-Bretagne;3
44109;Nantes;97
44110;Nort-sur-Erdre;2
44114;Orvault;15
44129;Pontchâteau;2
44131;Pornic;4
44132;Pornichet;4
44135;Le Pouliguen;2
44143;Rezé;13
44154;Saint-Brevin-les-Pins;4
44158;Saint-Étienne-de-Montluc;2
44162;Saint-Herblain;28
44166;Saint-Jean-de-Boiseau;2
44169;Saint-Julien-de-Concelles;3
44172;Sainte-Luce-sur-Loire;6
44184;Saint-Nazaire;31
44188;Saint-Philbert-de-Grand-Lieu;3
44190;Saint-Sébastien-sur-Loire;12
44194;Sautron;3
44198;Les Sorinières;2
44201;Sucé-sur-Erdre;3
44204;Thouaré-sur-Loire;3
44209;Treillières;3
44210;Trignac;4
44212;Vallet;3
44215;Vertou;8
44217;Vigneux-de-Bretagne;2
45004;Amilly;5
45068;Châlette-sur-Loing;5
45075;La Chapelle-Saint-Mesmin;4
45089;Chécy;3
45147;Fleury-les-Aubrais;9
45155;Gien;6
45169;Ingré;4
45208;Montargis;7
45232;Olivet;9
45234;Orléans;45
45252;Pithiviers;6
45274;Saint-Denis-en-Val;3
45284;Saint-Jean-de-Braye;10
45285;Saint-Jean-de-la-Ruelle;8
45286;Saint-Jean-le-Blanc;4
45298;Saint-Pryvé-Saint-Mesmin;2
45302;Saran;6
46042;Cahors;9
46102;Figeac;4
47001;Agen;15
47032;Bon-Encontre;2
47106;Fumel;2
47157;Marmande;8
47195;Nérac;3
47201;Le Passage;4
47252;Sainte-Livrade-sur-Lot;2
47310;Tonneins;4
47323;Villeneuve-sur-Lot;9
48092;Marvejols;2
48095;Mende;5
48140;Saint-Chély-d'Apcher;2
49007;Angers;69
49015;Avrillé;7
49021;Beaufort-en-Vallée;2
49023;Beaupréau;3
49035;Bouchemaine;3
49063;Chalonnes-sur-Loire;2
49092;Chemillé-Melay;4
49099;Cholet;22
49125;Doué-la-Fontaine;3
49180;Longué-Jumelles;3
49214;Montreuil-Juigné;3
49215;Montreuil-Bellay;2
49223;Mûrs-Erigné;2
